label,x_0,x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14,x_15,x_16,x_17,x_18,x_19,x_20,x_21,x_22,x_23,x_24,x_25,x_26,x_27,x_28,x_29,x_30,x_31,x_32,x_33,x_34,x_35,x_36,x_37,x_38,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_70,x_71,x_72,x_73,x_74,x_75,x_76,x_77,x_78,x_79,x_80,x_81,x_82,x_83,x_84,x_85,x_86,x_87,x_88,x_89,x_90,x_91,x_92,x_93,x_94,x_95,x_96,x_97,x_98,x_99,x_100,x_101,x_102,x_103,x_104,x_105,x_106,x_107,x_108,x_109,x_110,x_111,x_112,x_113,x_114,x_115,x_116,x_117,x_118,x_119,x_120,x_121,x_122,x_123,x_124,x_125,x_126,x_127
hsa-let-7a-2-3p,-0.14322227,0.45243853,0.47583562,0.18857107,0.3742875,0.1923662,-0.3931124,-0.04382164,-0.20403355,-0.92291474,-0.07857931,-0.08050443,0.5375939,0.14672433,0.04400655,-0.18348764,-0.10655631,0.13764559,-0.5398432,0.27555573,0.33918568,-0.5553696,-0.05945149,0.019191405,0.08220057,-0.5043654,0.21648763,0.36036888,0.47974056,0.013667163,0.23737876,-0.15303655,-0.38684738,-0.06599239,-0.39369434,0.13899454,0.15729326,0.2630403,0.3048148,0.3293548,-0.3550503,-0.014439426,0.38873345,0.13707401,-0.09766966,-0.33919695,0.6130175,-0.2931394,0.5445341,0.43902832,-0.3200698,0.14072585,-0.14797458,-0.30164847,-0.25208738,-0.27772018,0.38427418,0.13965903,0.3077017,-0.010403534,-0.30388686,-0.3751956,0.21268971,-0.1085458,0.11226754,-0.52208537,-0.39731297,-0.19448543,0.29130927,0.19359794,-0.46129075,0.011221727,-0.15314558,0.35820526,-0.040175077,-0.5556095,0.19793701,0.48977217,-0.12520689,0.13375819,-0.2274243,0.2946078,-0.28550184,-0.6651099,0.2710823,0.016913854,0.124390334,-0.002073072,-0.39246944,-0.7840245,0.003658932,-0.13482371,-0.6309537,0.06359698,0.5592969,0.5385849,-0.25197428,-0.4250678,-0.24792743,-0.42885783,0.17036255,0.17750393,0.04679554,0.021113044,0.48187086,0.7048567,0.81783706,0.015125039,0.26338923,-0.5995219,-0.08693185,-0.17541282,0.04322607,-0.078006044,0.58444566,-0.24382833,0.03342977,0.18038282,0.17036498,-0.03351485,0.14256948,-0.5916629,0.020866366,-0.6087223,-0.4377373,-0.4734663,0.53933644,-0.6910343
hsa-let-7a-3p,-0.15432568,0.12513137,0.109222025,0.069682606,0.33099544,-0.033142276,0.4328877,0.20911123,0.19186154,0.014739949,-0.01410238,0.012323255,-0.31842673,-0.013588003,0.041329045,-0.08767906,-0.32087183,0.18507972,0.07666253,0.006447777,-0.24058303,-0.28812402,0.11940466,0.3727593,0.1529996,-0.08911791,0.14463905,0.09611887,0.13350089,-0.3034271,0.39794385,0.14432982,-0.343882,-0.072698794,0.12830159,-0.19398426,-0.015838608,0.45270106,-0.4424331,0.20399529,0.3297526,-0.14614436,-0.1545981,0.3170122,-0.07055106,-0.36334231,0.387769,0.46881866,0.13354062,0.17535937,-0.16148087,0.11810231,0.49633637,0.3604494,0.18318945,0.18536167,0.123237625,0.11981947,0.33672875,-0.20431039,0.20113422,-0.51030225,0.15463044,0.022526577,0.1714301,0.07301773,-0.285753,0.029113702,0.04990854,0.7169124,0.17088926,0.003768802,0.14929773,0.20422947,-0.004507157,-0.2642616,0.20096886,0.26044208,0.4330879,-0.009420917,-0.12494969,0.102188446,-0.09528748,0.21151833,0.24227116,-0.30476853,0.13241987,-0.27503395,-0.24602199,-0.48190892,0.21663097,-0.27000645,-0.17811365,-0.16904125,-0.26068112,0.11494911,-0.10150777,-0.0663258,-0.14008383,0.15981312,-0.2232113,-0.19394083,-0.07429868,0.34978554,-0.1140006,-0.094557025,0.3185082,-0.2946936,-0.17571582,-0.4516288,-0.2485025,-0.8260519,-0.04261499,-0.41487604,0.14559835,-0.32539874,0.32100213,0.20995158,0.18422419,-0.07587041,-0.28143123,-0.16337124,0.23332475,-0.5833987,-0.38232216,0.23628642,-0.102386065,-0.17789942
hsa-let-7a-5p,0.36069754,0.57367474,0.41681048,0.20123202,0.703639,-0.2554523,-0.13015063,0.015398575,0.4140192,0.22477207,-0.44258162,0.2564805,-0.110147566,0.118967995,0.4146129,-0.046160433,-0.23057108,0.19078246,0.19703275,0.28058347,0.059710253,0.60346836,0.34643498,0.32607704,0.107244626,0.11869113,-0.37966606,0.13660829,0.32541794,-0.42762253,-0.3210019,0.10689996,0.39608207,0.22935057,0.25740746,0.3330528,0.003201458,-0.055242825,-0.04384846,0.20611878,0.17207038,0.244151,0.1831779,-0.11199932,0.27925807,-0.34188837,0.29573047,0.29583594,-0.03340313,0.03734516,0.12550713,0.29308036,0.4929589,-0.06919297,-0.08888158,-0.33467117,-0.20066345,0.43653363,0.06900534,0.20143348,0.15399729,0.18741198,-0.16706721,-0.30780002,-0.020370856,-0.26848745,0.07269061,0.20089372,-0.05695136,-0.1565775,0.05083293,-0.09329573,-0.073426075,-0.051162,-0.36987117,-0.14640118,0.23057464,-0.06059639,-0.049502045,0.004816142,-0.30138943,0.006387624,-0.06419845,-0.47788355,-0.3899466,0.06676981,-0.025209075,0.63756686,0.19768636,-0.15257806,0.3104663,0.19407965,0.2896201,-0.3392916,0.10717038,-0.17605923,0.052756757,-0.37771207,-0.14623573,-0.11814606,0.6541617,0.32152656,-0.8358331,0.14852694,0.06882643,0.01578556,0.650731,0.09230798,-0.16392782,-0.26460195,0.5498175,-0.10513043,-0.22158158,-0.36579806,-0.27577254,-0.3080447,0.13345368,0.14324228,0.28828937,0.09534525,0.009547088,-0.3673597,0.32049322,-0.27364197,-0.22008005,0.3014795,-0.2651939,0.55955327
hsa-let-7b-3p,-0.3557729,0.36203417,0.2025146,0.004572651,0.023683395,-0.05314502,0.12365342,0.089441635,0.20649858,0.26782534,-0.3246242,-0.31610474,0.13268623,0.073334984,0.06749529,-0.054461665,-0.10214568,-0.045017883,-0.13710304,-0.09674026,0.017291429,0.098575816,0.2925595,0.22886778,-0.41315582,-0.14508039,0.31165072,-0.00426801,0.14864339,-0.046909317,0.044332877,0.024911761,-0.13001046,0.01420984,-0.00696001,0.1695827,0.33770964,0.12844753,-0.29213694,0.34884652,0.54592407,0.3664675,-0.39009735,-0.0921804,-0.18774766,-0.105870575,0.45463023,0.41438478,0.27114508,0.33278605,-0.27714765,0.2857576,-0.08417595,0.32881638,-0.096526265,0.22067143,0.27124187,0.4051819,0.12169632,0.16475731,0.037381683,0.01397601,0.018293742,0.22325778,0.115466505,0.20134206,-0.16223156,-0.022151478,-0.3081015,-0.26268253,0.11409694,0.2754293,0.006219414,-0.30943805,-0.20144671,-0.03274091,0.38795054,0.27990788,-0.43273374,-0.08200387,-0.22762047,0.17969602,0.02716444,-0.25789577,0.06570815,0.13747801,0.411674,0.09796151,-0.1807058,-0.4639473,-0.117006585,-0.2036862,-0.2106738,0.066910505,-0.11452967,0.14334115,0.083854236,-0.030578304,-0.5259274,-0.03436137,0.28637254,0.06845687,-0.5440231,0.48348904,0.004697566,0.10152332,0.3229307,0.22745796,0.0460568,0.089175574,-0.042618174,-0.3007507,-0.067974955,0.034862872,0.03974899,-0.5070351,0.05274055,-0.13587871,-0.10346739,-0.478713,-0.046905268,-0.16351385,0.39202493,-0.3343613,0.03675822,0.24465337,-0.08409167,-0.1944077
hsa-let-7b-5p,-0.31308976,0.49688166,-0.016229808,0.41735923,0.3003455,0.05763892,0.26665244,0.06548076,-0.16678596,-0.21968448,-0.3865075,-0.14345102,0.1771552,-0.15594459,0.03471043,-0.002067894,0.033407785,0.15383616,-0.031875744,0.6650426,0.27974164,-0.1089453,0.21934639,0.69302344,0.05395171,-0.21797188,0.039320003,0.58475083,0.40464935,-0.27100232,0.12369107,-0.30654362,-0.090756,-0.08725587,0.041638087,0.46944755,0.00749141,0.038464155,-0.002252114,0.31359023,0.67098665,0.54774,-0.38717127,0.5005134,-0.06627374,-0.4641573,0.50636506,0.14749558,0.29186025,0.016797388,-0.033812754,-0.14465146,0.003697986,-0.11432224,0.2597585,-0.34220013,0.1518845,0.051953062,0.15549995,-0.19004714,0.00942767,0.24570023,0.09992582,0.0994632,-0.29757828,-0.10997918,-0.11420275,-0.090460576,0.18462875,0.21694717,0.026206719,0.26455897,-0.08432316,0.2865929,0.015429734,0.044535987,-0.019178422,0.20308423,0.08018974,-0.16260785,0.33273965,0.091210656,0.12392317,0.23474096,-0.051827654,0.19150873,0.046120428,0.27901742,-0.49654663,-0.3237641,-0.4042806,-0.25341034,0.051311914,-0.14270203,-0.07974822,0.3053396,-0.055148397,0.12689812,-0.30434248,0.15340738,0.15580368,-0.016794402,-0.41354063,0.09032041,-0.030772114,-0.16370258,0.38488993,0.46557203,-0.0918049,-0.004648486,0.4819753,-0.2458659,-0.23276825,0.09836134,-0.30705705,0.053168725,0.33014378,-0.19710766,-0.17553236,-0.49551395,0.24861902,-0.44892186,0.35369542,-0.31724203,-0.34429395,0.32603714,0.24211353,0.11937332
hsa-let-7c-3p,0.31791508,-0.0666625,0.047109943,0.3448444,0.1680797,-0.04013865,0.4376883,-0.21557583,0.105328925,-0.14151138,-0.35153452,-0.21908699,-0.14576305,0.15137987,0.01981342,0.097975485,0.46089152,0.2717678,-0.39906147,0.36808485,-0.09516277,0.21073723,0.047249142,0.59693855,-0.2842758,0.27730143,0.29604805,0.053437144,-0.033696532,-0.020573208,0.28613073,-0.16676052,-0.26268926,-0.14728084,-0.507348,-0.3087258,-0.15299444,-0.08922577,0.21657841,-0.17704612,0.06881399,0.12879193,-0.15606767,0.18677899,-0.18214351,-0.10590677,0.29315722,0.55441433,0.16311644,0.09296175,-0.13546222,0.62378836,-0.23391937,0.110183686,0.19205096,0.27809784,0.45092162,-0.005031324,0.17770512,0.09897603,0.027756829,0.15111837,-0.086371645,0.0298936,0.25599894,-0.20846128,-0.045438595,-0.044459194,0.13831441,0.323625,0.10155984,-0.15383032,0.22163895,0.22864704,-0.067219175,-0.019040402,0.24694623,0.27309567,0.12543039,-0.31166166,-0.291023,-0.07339866,-0.18886144,-0.23569286,-0.18923855,-0.22822638,0.08537713,0.42665467,-0.45026833,-0.1335697,-0.08756258,-0.20756474,0.19846912,0.4007386,0.5396272,0.32464585,0.07520697,0.12352677,-0.32004032,0.18754719,-0.12882023,0.24374115,-0.24819788,0.37491181,0.25441444,-0.23696391,0.22610551,0.18304202,-0.28396973,-0.39137846,-0.13336383,-0.45196024,0.047681984,-0.10526443,0.26172143,-0.19250979,0.18778418,-0.05501892,0.07702978,-0.41745144,-0.2552505,-0.37048537,0.42918825,-0.10171775,0.08807092,0.57170415,0.2600223,0.08383397
hsa-let-7c-5p,-0.08379459,0.1281505,0.28025848,0.44913664,0.16285156,-0.11690121,-0.08217741,0.1874495,0.13117789,0.17670412,-0.002780059,0.19331679,0.32200697,0.21216728,0.026734104,0.4018285,0.022060191,0.29962602,0.3291292,-0.15380618,-0.05791261,0.36284107,0.21577764,0.2116701,0.064453855,0.39079136,0.35238162,0.13652228,0.5509351,0.21528506,-0.100460015,-0.39594597,0.7109584,-0.18374152,-0.006658354,-0.36107782,0.18119769,-0.12292503,-0.33671603,-0.28253686,0.31174627,0.3264945,-0.21853963,0.24228078,-0.30477792,0.32225186,0.6191074,0.091383554,0.27585328,0.20959638,0.08846636,-0.055171605,-0.30829734,-0.1789091,0.08593823,0.009186078,0.06415341,0.09556763,-0.14469168,0.41429532,-0.11396715,0.51581234,-0.08504209,0.14711823,0.24033672,-0.19276364,-0.28573233,-0.23181687,0.26914555,-0.09172558,0.49782872,-0.022870308,0.31253132,-0.21088924,-0.024437819,-0.4167527,0.06282847,0.5513543,-0.5573644,-0.27487743,0.19689249,0.09209603,-0.10139059,-0.27775964,0.027655689,0.27765882,0.33892605,-0.111738384,-0.52793074,-0.037620086,0.35585415,-0.638478,-0.045602467,-0.004102326,0.30700436,0.15002361,0.08117147,0.15174851,0.23352149,0.12285638,-0.0976966,-0.064095095,-0.16992491,0.7237681,-0.78086656,-0.57545173,-0.14682546,0.20642608,0.030784737,-0.36160776,0.21225765,0.054735087,0.30778253,0.038601667,0.13890819,0.16187482,-0.119551204,0.1491764,-0.14174426,0.09832761,-0.7994677,-0.39845312,0.09038707,-0.16862288,-0.24459954,0.27269447,-0.30421472,0.045719143
hsa-let-7d-3p,-0.11180888,-0.29890755,0.20614338,0.13972454,0.83935064,-0.16171989,-0.19716482,0.26028112,0.25992024,0.010863,0.06464254,0.25742137,-0.035017118,0.09536198,-0.12930356,0.11106409,0.39972562,0.15737963,0.08665724,0.29096815,0.016004322,0.37101683,-0.20240414,0.3520883,-0.17599474,0.17599793,-0.10808867,0.23627569,0.22566527,-0.049742416,0.14440885,0.07794562,-0.042153474,-0.29811454,-0.38410583,-0.15841553,0.24331078,0.2739411,-0.15017876,0.23088142,0.36227193,0.1018352,-0.06593467,0.063716315,-0.22315599,-0.15542349,0.010422282,0.23732178,0.1777326,0.27313775,-0.22257198,0.56232697,-0.047964018,0.028176982,0.2957473,-0.26705697,0.27334568,0.3473966,-0.26722723,0.5020839,0.022589272,-0.1460033,-0.146889,-0.24022648,0.021155525,-0.20453215,-0.017369915,0.33054352,-0.4928416,0.21327657,-0.059856985,-0.060281105,-0.23406003,-0.1788924,-0.5016447,-0.021870185,0.12515992,0.004858368,-0.18007909,-0.1552051,-0.28060558,0.24621241,-0.36687616,-0.10339053,-0.07728545,-0.040016793,0.5609423,0.35558504,-0.3642592,-0.5588214,-0.13566653,-0.5274471,-0.111288115,-0.2088063,0.15631366,0.28704095,-0.057557028,0.23951258,-0.23284589,-0.16693003,0.19598022,0.39343333,0.0770605,0.19095223,0.27691075,-0.20661165,0.19800921,0.2584845,0.3705294,0.004730985,0.4525082,-0.18778028,0.20196241,-0.14836769,0.12062129,-0.14910343,-0.16415676,0.007556584,-0.17179763,0.41895655,0.001171638,-0.5071989,0.47301984,0.06723372,-0.13597333,0.13506578,0.105089284,0.2917533
hsa-let-7d-5p,0.007467208,0.042206857,-0.23037076,0.31441784,0.09810928,-0.10057097,0.5006207,0.08098752,0.405251,0.010998883,0.090423815,-0.14745235,-0.13339055,0.05764071,0.051016323,0.20851018,0.30499047,0.30389807,-0.1129117,-0.29776004,-0.07537969,-0.042441748,0.5310598,0.40034163,-0.2640873,-0.03074444,-0.11417034,0.28323382,0.14295897,-0.3358714,0.15860036,-0.25232106,0.1906526,-0.28648373,0.052256092,0.22605494,0.2779021,0.400155,-0.2527888,0.07109556,0.43532825,0.13520005,-0.30844796,0.41182014,0.20053014,-0.71365607,0.8476861,0.5413469,0.017981775,0.15052915,-0.34634218,0.50972176,0.047128126,0.18650667,0.21991517,-0.10038508,0.43267843,0.019490883,0.14064889,0.31378406,-0.020161575,0.16421917,0.15266597,0.021636512,-0.13759589,0.10610591,-0.03546842,-0.07104691,-0.28381178,-0.06390306,0.16381799,-0.26686504,0.11210971,-0.03526223,0.09741261,-0.15093552,0.27992192,0.62680084,-0.109276004,0.52802944,-0.4755877,0.23637196,-0.28097355,-0.69692785,-0.01437784,-0.0902074,0.17986771,0.08546976,-0.07362545,-0.31964236,0.34818467,-0.19903965,-0.61963195,0.08321983,0.1673444,-0.07306976,-0.031634565,0.41907904,-0.31173754,-0.18123412,0.43303558,0.56198055,-0.29788604,0.06494038,0.33002543,-0.09751126,0.56019837,-0.45256212,-0.41259205,-0.019153824,0.21062432,-0.6092686,-0.2996112,-0.09813691,-0.36623406,0.043751888,0.030642495,0.07736512,0.30980998,-0.6954836,-0.18125749,-0.23309295,0.1628895,-0.1377636,-0.3462638,0.15936802,0.14543681,-0.23662591
hsa-let-7e-3p,-0.17653169,-0.03190366,0.3564447,0.050418347,0.27349016,0.30344573,0.38317272,0.112589486,-0.08634472,0.06947202,-0.53361744,-0.01493796,0.03189427,-0.21113475,0.13704659,0.15624225,0.18683854,0.002571195,0.23457433,0.3615521,-0.098634034,-0.37607262,0.023208965,0.22028166,0.45715937,0.24054912,0.4032971,0.21100768,0.091457784,-0.32583183,0.014814409,-0.040068407,0.048148073,0.03730024,-0.11707815,0.30513397,0.5584842,0.2173354,-0.4965817,0.2926329,0.73152703,0.1796934,0.08577304,0.16012636,0.43880957,-0.19885048,0.51648265,0.23196886,0.4033984,0.23937762,0.032968488,0.14399731,0.005882119,0.36234272,0.36308762,-0.023649901,0.55996734,0.1708531,-0.3465275,-0.19569188,-0.69444805,0.13854699,0.261777,0.013837194,-0.11651127,-0.4255547,-0.17647038,0.17895666,0.11389228,0.090483256,-0.19238433,-0.47641355,0.003668201,0.3502219,-0.3167892,-0.2101149,0.048741788,0.6429011,0.030077787,0.23877208,-0.23486936,0.37698436,-0.32789728,-0.073608495,-0.27759513,0.20976716,0.3560175,0.054896142,-0.45511457,-0.6334356,0.30263957,0.16012898,0.13950552,0.040177822,-0.15116851,0.14051722,-0.19381925,-0.14748059,-0.4167725,-0.381005,0.33645323,0.2200698,-0.48467982,0.1809661,0.17682913,0.04376696,0.50454336,0.40981546,-0.06628035,-0.025800427,0.21957669,-0.24546215,-0.12249094,-0.5121511,-0.103118435,-0.2895927,0.14578699,-0.43580744,-0.22578304,-0.12591812,0.03233763,-0.5098063,0.26997304,-0.3461313,-0.4214509,0.12947246,-0.007925971,-0.030796746
